,Unnamed: 0,book_id,Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
8439,8439,B10008440,Without Sanctuary: Lynching Photography in America,"Frequently reissued with the same ISBN, but with slightly differing bibliographical details.","['James Allen', 'Twin Palms Publishers', 'Hilton Als', 'John Lewis', 'Leon F. Litwack']",http://books.google.com/books/content?id=q4faAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=q4faAAAAMAAJ&q=Without+Sanctuary:+Lynching+Photography+in+America&dq=Without+Sanctuary:+Lynching+Photography+in+America&hl=&cd=1&source=gbs_api,Twin Palms Pub,2000,http://books.google.com/books?id=q4faAAAAMAAJ&dq=Without+Sanctuary:+Lynching+Photography+in+America&hl=&source=gbs_api,['Photography'],5.0
3208,3208,B10003209,Black Girl Lost,"Teenagers Sandra and Chink fall in love after they start selling drugs in inner-city Los Angeles, but when he goes to jail and Sandra is later raped, Chink escapes to seek revenge against the men responsible.",['Donald Goines'],http://books.google.com/books/content?id=uywDAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=uywDAwAAQBAJ&printsec=frontcover&dq=Black+Girl+Lost&hl=&cd=1&source=gbs_api,Kensington Books,2014-04-29,http://books.google.com/books?id=uywDAwAAQBAJ&dq=Black+Girl+Lost&hl=&source=gbs_api,['Fiction'],3.0
7772,7772,B10007773,Crazy for You,"A psychologist and bestselling author redefines love and sex addiction as a spectrum disorder, and offers a new approach for healing. For anyone who has wondered Why does everyone else seem to be able to make romantic relationships work, and I can’t? What’s wrong with me? Why is love so hard? Psychologist and bestselling memoirist Kerry Cohen is all too familiar with the questions she often hears from her clients—and has asked herself. Even though sex and love are some of the most universal, sought-after experiences we have, many of us lack the tools and understanding to approach them in a healthy way. Without knowing it, many people struggling with sex and love actually fall somewhere on the spectrum of sex and love addiction (SLA). Sex and love addiction is still wildly misunderstood. It’s shrouded in secrecy and shame, and many counselors lack the training to address it—leaving people who need help without resources. Yet SLA isn’t a binary of you are or you aren’t, rather, it’s a spectrum. Kerry Cohen knows this all too well as both a therapist and someone who identifies on the SLA spectrum. Based on research and her own clinical experience, Crazy for You dives into SLA and provides an inclusive framework for understanding relationships, along with practical exercises and advice for self-assessment, discovery, and healing: Part one explains the sex and love addiction spectrum, helping you determine where you fall on it and how you got there Part two introduces strategies for breaking the spell of sex and love addiction, like behavior modifications and self-awareness techniques Part three teaches you how to navigate healthy, safe, and fulfilling relationships",['Kerry Cohen'],http://books.google.com/books/content?id=jNzKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=jNzKDwAAQBAJ&dq=Crazy+for+You&hl=&cd=1&source=gbs_api,Hachette UK,2021-09-21,http://books.google.com/books?id=jNzKDwAAQBAJ&dq=Crazy+for+You&hl=&source=gbs_api,['Self-Help'],
13298,13298,B10013299,Towards zero,Superintendent Battle of Scotland Yard struggles to find the person who penned the details of a vicious murder.,['Agatha Christie'],http://books.google.com/books/content?id=f6nZfXKX_VEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=f6nZfXKX_VEC&printsec=frontcover&dq=Towards+zero&hl=&cd=1&source=gbs_api,Simon and Schuster,1980-06-02,http://books.google.com/books?id=f6nZfXKX_VEC&dq=Towards+zero&hl=&source=gbs_api,"['Battle, Superintendent (Fictitious character)']",16.0
7636,7636,B10007637,"The Law of Torts: Examples & Explanations, Third Edition","A favorite among successful students, and often recommended by professors, the unique Examples & Explanations series gives you extremely clear introductions to concepts followed by realistic examples that mirror those presented in the classroom throughout the semester. Use at the beginning and midway through the semester to deepen your understanding through clear explanations, corresponding hypothetical fact patterns, and analysis. Then use to study for finals by reviewing the hypotheticals as well as the structure and reasoning behind the accompanying analysis. Designed to complement your casebook, the trusted Examples & Explanations titles get right to the point in a conversational, often humorous style that helps you learn the material each step of the way and prepare for the exam at the end of the course. The unique, time-tested Examples & Explanations series is invaluable to teach yourself the subject from the first day of class until your last review before the final. Each guide: helps you learn new material by working through chapters that explain each topic in simple language challenges your understanding with hypotheticals similar to those presented in class provides valuable opportunity to study for the final by reviewing the hypotheticals as well as the structure and reasoning behind the corresponding analysis quickly gets to the point in conversational style laced with humor remains a favorite among law school students is often recommended by professors who encourage the use of study guides works with ALL the major casebooks, suits any class on a given topic provides an alternative perspective to help you understand your casebook and in-class lectures",['Joseph W. Glannon'],http://books.google.com/books/content?id=fRZIzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=fRZIzwEACAAJ&dq=The+Law+of+Torts:+Examples&hl=&cd=1&source=gbs_api,Wolters Kluwer,2020-02-04,http://books.google.com/books?id=fRZIzwEACAAJ&dq=The+Law+of+Torts:+Examples&hl=&source=gbs_api,['Law'],
4400,4400,B10004401,Complete Book of Scriptwriting,"Explains how to write and sell plays for television, radio, motion pictures, and the stage and surveys the characteristics and requirements of each medium",['J. Michael Straczynski'],http://books.google.com/books/content?id=rz0NAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=rz0NAQAAMAAJ&q=Complete+Book+of+Scriptwriting&dq=Complete+Book+of+Scriptwriting&hl=&cd=1&source=gbs_api,Writers Digest Books,1982,http://books.google.com/books?id=rz0NAQAAMAAJ&dq=Complete+Book+of+Scriptwriting&hl=&source=gbs_api,['Language Arts & Disciplines'],1.0
7517,7517,B10007518,"The magic flute,","A comprehensive guide to Mozart's THE MAGIC FLUTE, featuring insightful and in depth Commentary and Analysis, a complete, newly translated Libretto with German/English translation side-by side, and over 30 music highlight examples.","['Wolfgang Amadeus Mozart', 'Burton D. Fisher']",http://books.google.com/books/content?id=oaZDn3-7L24C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=oaZDn3-7L24C&printsec=frontcover&dq=The+magic+flute,&hl=&cd=1&source=gbs_api",Opera Journeys Publishing,2005-07-01,"http://books.google.nl/books?id=oaZDn3-7L24C&dq=The+magic+flute,&hl=&source=gbs_api",['Music'],
10566,10566,B10010567,Pure Poetry: A Novel,"Meet Lila Moscowitz, a smart-mouthed, Jewish American beauty with a voracious appetite for sex, a remarkable talent for outrageous lies, and an unerring knack for screwing up her life. An accomplished poet, renowned for writing ""smut and filth in terza rima,"" she goes about her life in Pure Poetry with enough attitude and verve to win your heart forever. But since fleeing the all-consuming passion of her marriage to Max, the sexy German, she can no longer compose so much as a couplet; ghosts have taken over her Greenwich Village apartment, and the contrast between her feelings for her present lover and her former husband is breaking her heart. And neither her best friend, Carmen, nor her cross-dressing analyst, Leon, is able to soothe her angst over her impending thirty eighth birthday, an occasion fraught with a thirty-seven year tradition of emotional devastation. But time waits for no woman, and the dreaded birthday does bring insight: Love can be undone by the same desires that nurture it. Lila knows that she has got to take action, and in doing so she comes to realize some startling truths about herself, her capacity for love, and the nature of true freedom. Binnie Kirshenbaum's voice has been acclaimed by critics and readers alike. Already a bestselling author in Germany, Kirshenbaum demonstrates a brilliant maturity in Pure Poetry. Not since Erica Jong's Fear of Flying has a novel so captured a woman's heart and desires. Readers will cheer Pure Poetry for its heady mix of humor and sadness, and for its slyly unsettling visions of modern life.",['Binnie Kirshenbaum'],http://books.google.com/books/content?id=UqSgs1acW94C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=UqSgs1acW94C&pg=PA206&dq=Pure+Poetry:+A+Novel&hl=&cd=1&source=gbs_api,Simon and Schuster,2008-06-30,https://play.google.com/store/books/details?id=UqSgs1acW94C&source=gbs_api,['Fiction'],
8282,8282,B10008283,The Prometheus Deception,"Robert Ludlum is the acknowledged master of suspense and international intrigue. For over thirty years, in over twenty international bestsellers, he has a set a standard that has never been equaled. Now, with the Prometheus Deception, he proves that he is at the very pinnacle of his craft. Nicholas Bryson spent years as a deep cover operative for the American secret intelligence group, the Directorate. After critical undercover mission went horribly wrong, Bryson was retired to a new identity. Years later, his closely held cover is cracked and Bryson learns that the Directorate was not what it claimed - that he was a pawn in a complex scheme against his own country's interests. Now, it has become increasingly clear that the shadowy Directorate is headed for some dangerous endgame - but no one knows precisely who they are and what they are planning. With Bryson their only possible asset, the director of the CIA recruits Bryson to find, reinfiltrate, and stop the Directorate. But after years on the sidelines, Bryson's field skills are rusty, his contacts unreliable, and his instincts suspect. With everything he thought he knew about his own life in question, Bryson is all alone in a wilderness of mirrors - unsure what is and isn't true and who, if anyone, he can trust - with the future of millions in the balance.",['Robert Ludlum'],http://books.google.com/books/content?id=gQriDEUE7-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=gQriDEUE7-UC&printsec=frontcover&dq=The+Prometheus+Deception&hl=&cd=1&source=gbs_api,St. Martin's Press,2007-04-01,https://play.google.com/store/books/details?id=gQriDEUE7-UC&source=gbs_api,['Fiction'],6.0
10159,10159,B10010160,"The Corinthian (Bantam Books, No. SB4003)","""A writer of great wit and style...I've read her books to ragged shreds.""—Kate Fenton, Daily Telegraph A daring escape Penelope Creed will do anything to avoid marrying her repulsive cousin. Dressed in boy's clothing, she's fleeing from London when she's discovered by Sir Richard Wyndham, himself on the verge of the most momentous decision of his life. And a heroic rescue When Sir Richard encounters the lovely young fugitive, he knows he can't allow her to travel to the countryside all alone, so he offers himself as her protector. As it happens, at that very moment Sir Richard could use an escape of his own... What Readers Say: ""Marvelous screwball comedy and great romance!"" ""Light–hearted and fun, full of adventure and misadventure. But it is Heyer's style, much reminiscent of Jane Austen's, yet more colorful and engaging, that makes this book truly delightful."" ""A sprightly handful of a heroine, an amused grey–eyed hero, and a colorful and diverse group of supporting characters...throw in a road trip, a murder over stolen jewels, and a mystery, and there's a little something for everyone."" ""Triumphantly good...Georgette Heyer is unbeatable.""—India Knight, Sunday Telegraph ""Her books sparkle with wit and style.""—Publishers Weekly",['Georgette Heyer'],http://books.google.com/books/content?id=1OPeCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=1OPeCgAAQBAJ&pg=PP1&dq=The+Corinthian+(Bantam+Books,+No.+SB4003)&hl=&cd=1&source=gbs_api","Sourcebooks, Inc.",2009-06-01,"http://books.google.com/books?id=1OPeCgAAQBAJ&dq=The+Corinthian+(Bantam+Books,+No.+SB4003)&hl=&source=gbs_api",['Fiction'],30.0
7541,7541,B10007542,Dorothy Parker: What Fresh Hell Is This?,"Marion Meade's engrossing and comprehensive biography of one of the twentieth century's most captivating women In this lively, absorbing biography, Marion Meade illuminates both the charm and the dark side of Dorothy Parker, exploring her days of wicked wittiness at the Algonquin Round Table with the likes of Robert Benchley, George Kaufman, and Harold Ross, and in Hollywood with S. J. Perelman, William Faulkner, and Lillian Hellman. At the dazzling center of it all, Meade gives us the flamboyant, self-destructive, and brilliant Dorothy Parker. This edition features a new afterword by Marion Meade.",['Marion Meade'],http://books.google.com/books/content?id=paTqyHoLNGoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=paTqyHoLNGoC&printsec=frontcover&dq=Dorothy+Parker:+What+Fresh+Hell+Is+This%3F&hl=&cd=1&source=gbs_api,Penguin,1989-03-03,https://play.google.com/store/books/details?id=paTqyHoLNGoC&source=gbs_api,['Biography & Autobiography'],8.0
10194,10194,B10010195,Gates: How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America,"Gates reveals the guiding genius behind the unparalleled success of the Microsoft Corporation-- the biggest and most profitable personal computer software company in history-- and exposes the intensely competitive tactics that help it dominate the desktops of America. Chairman and co-founder of Microsoft, Bill Gates is the most powerful person in the computer industry and the youngest self-made billionaire in history. His company's DOS and Windows programs are such universal standards that more than nine out of ten personal computers depend on Microsoft software. Under the ""Microsoft Everywhere"" rallying cry, Gates intends to expand his company's worldwide dominance to office equipment, communications, and home entertainment. Vivid and definitive, Gates details the behind the scenes history of the personal computer industry and its movers and shakers, from Apple to IBM, from Steve Jobs to Ross Perot. Uncovering the inside stories of the bitter battle for control of the expanding personal computing market, Gates is a bracing, comprehensive portrait of the industry, the company, and the man-- and what they mean for a future where software is everything.","['Stephen Manes', 'Paul Andrews']",http://books.google.com/books/content?id=cynR_pehxHgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cynR_pehxHgC&q=Gates:+How+Microsoft%27s+Mogul+Reinvented+an+Industry--and+Made+Himself+the+Richest+Man+in+America&dq=Gates:+How+Microsoft%27s+Mogul+Reinvented+an+Industry--and+Made+Himself+the+Richest+Man+in+America&hl=&cd=1&source=gbs_api,Touchstone,1994-01-21,http://books.google.nl/books?id=cynR_pehxHgC&dq=Gates:+How+Microsoft%27s+Mogul+Reinvented+an+Industry--and+Made+Himself+the+Richest+Man+in+America&hl=&source=gbs_api,['Biography & Autobiography'],
1599,1599,B10001600,"The American Night: Writings of Jim Morrison, Vol. 2","Never-before-seen poetry, prose, epigrams, diary entries, and scribblings fill a second posthumous volume of writings by the lead singer of the Doors",['Jim Morrison'],http://books.google.com/books/content?id=9OqLiAsMA4UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=9OqLiAsMA4UC&printsec=frontcover&dq=The+American+Night:+Writings+of+Jim+Morrison,+Vol.+2&hl=&cd=1&source=gbs_api",Vintage,1991,"http://books.google.com/books?id=9OqLiAsMA4UC&dq=The+American+Night:+Writings+of+Jim+Morrison,+Vol.+2&hl=&source=gbs_api",['Music'],3.0
102,102,B10000103,"Cry, the Beloved Country","Cry the Beloved Country is the deeply moving story of the Zulu pastor Stephen Kumalo and his son Absalom, set against the background of a land and a people riven by racial injustice. Remarkable for its contemporaneity, unforgettable for character and incident, Cry, the Beloved Country is a classic work of love and hope, courage and endurance, born of the dignity of man.",['Alan Paton'],http://books.google.com/books/content?id=bHxyrMfxzwUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=bHxyrMfxzwUC&q=Cry,+the+Beloved+Country&dq=Cry,+the+Beloved+Country&hl=&cd=1&source=gbs_api",Arrow,2002,"http://books.google.com/books?id=bHxyrMfxzwUC&dq=Cry,+the+Beloved+Country&hl=&source=gbs_api",['Africa'],
1433,1433,B10001434,Let Go and Let God,"Step by step, layman's terms, points out the way to a joyous affirmation of your spiritual faith--a soothing refuge in times of trouble and doubt.",['Albert Cliffe'],http://books.google.com/books/content?id=580G4YfHiRwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=580G4YfHiRwC&printsec=frontcover&dq=Let+Go+and+Let+God&hl=&cd=1&source=gbs_api,Simon and Schuster,1991-03-01,http://books.google.com/books?id=580G4YfHiRwC&dq=Let+Go+and+Let+God&hl=&source=gbs_api,['Psychology'],1.0
410,410,B10000411,The Psychology of Man's Possible Evolution,"""तोड़ो कारा बंदी मन की"" जी. आई. गुर्जिएफ के शिष्य पी.डी. ऑस्पेन्स्की के 6 अभिभाषणों का संकलन है. अंग्रेजी में इसे The Psychology of Man's Possible Evolution के नाम से प्रकाशित किया गया है। ज़ाहिर है यह पुस्तक मूलतः मनुष्य के मनोविज्ञान के बारे में बात करती है। यह Darwin के evolution से अलग मानसिक क्रम-उत्थान को ही क्रम-विकास मानती है। इसके बिना मनुष्य मात्र एक यंत्र-जैसा है जिसका विकास संभव नहीं है। भारतीय वाङ्ग्मय में क्रम-विकास की अवधारणा नहीं है लेकिन क्रमोत्थान कई कहानियाँ पढ़ने को मिलती हैं। और उसका एकमात्र तरीका है स्वयं पर साधना। गुर्जिएफ़ से अलग होने के बाद ऑस्पेंस्की के पास जो भी साधना सीखने के लिए आता था उसे ये अभिभाषण पढ़ कर सुनाया जाता था। उसके बाद वे उनके प्रश्नों का जवाब देते थे। स्वयं को समझने के लिए इससे बेहतर पुस्तक नहीं हो सकती।",['Author: P. D. Ouspensky '],http://books.google.com/books/content?id=at7Y4zzpFhwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=at7Y4zzpFhwC&printsec=frontcover&dq=The+Psychology+of+Man%27s+Possible+Evolution&hl=&cd=1&source=gbs_api,"Ram Tirth Mission, New Delhi, India",2008-01-31,https://play.google.com/store/books/details?id=at7Y4zzpFhwC&source=gbs_api,"['Body, Mind & Spirit']",
12121,12121,B10012122,Convex Optimization,"A comprehensive introduction to the tools, techniques and applications of convex optimization.","['Stephen Boyd', 'Stephen P. Boyd', 'Lieven Vandenberghe']",http://books.google.com/books/content?id=mYm0bLd3fcoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=mYm0bLd3fcoC&printsec=frontcover&dq=Convex+Optimization&hl=&cd=1&source=gbs_api,Cambridge University Press,2004-03-08,http://books.google.com/books?id=mYm0bLd3fcoC&dq=Convex+Optimization&hl=&source=gbs_api,['Business & Economics'],7.0
